,,Date,Open,Close,High,Low,Volume,Money,Factor,Adj Close
600519.XSHG,0,2007-08-30,88.88,89.51,89.97,88.62,1592168.0,142153246.0,4.317,89.51
600519.XSHG,1,2007-08-31,89.51,92.36,92.46,88.94,1732864.0,158100458.0,4.317,92.36
600519.XSHG,2,2007-09-03,92.92,92.3,94.36,92.11,3246568.0,303353295.0,4.317,92.3
600519.XSHG,3,2007-09-04,92.17,88.24,92.17,87.2,8176547.0,723864066.0,4.317,88.24
600519.XSHG,4,2007-09-05,88.31,87.67,89.48,85.81,3961807.0,343653908.0,4.317,87.67
600519.XSHG,5,2007-09-06,87.78,86.62,87.78,85.99,4766281.0,412746126.0,4.317,86.62
600519.XSHG,6,2007-09-07,86.62,83.43,86.62,83.1,5716247.0,480091647.0,4.317,83.43
600519.XSHG,7,2007-09-10,81.0,82.07,83.34,81.0,7065217.0,577753207.0,4.317,82.07
600519.XSHG,8,2007-09-11,82.01,83.05,84.59,82.01,4478925.0,374651914.0,4.317,83.05
600519.XSHG,9,2007-09-12,82.58,83.0,84.32,81.04,2111118.0,173598048.0,4.317,83.0
600519.XSHG,10,2007-09-13,83.16,83.07,83.45,81.43,3665016.0,302740276.0,4.317,83.07
600519.XSHG,11,2007-09-14,83.16,85.7,86.63,81.85,6342060.0,533527808.0,4.317,85.7
600519.XSHG,12,2007-09-17,85.47,87.76,88.35,84.18,6721872.0,581454298.0,4.317,87.76
600519.XSHG,13,2007-09-18,87.9,84.59,87.9,83.67,2569090.0,218334186.0,4.317,84.59
600519.XSHG,14,2007-09-19,83.8,81.72,84.03,80.72,5023877.0,410862934.0,4.317,81.72
600519.XSHG,15,2007-09-20,81.84,83.76,84.23,81.84,2234270.0,185888065.0,4.317,83.76
600519.XSHG,16,2007-09-21,83.77,83.65,84.02,81.89,2214336.0,183153720.0,4.317,83.65
600519.XSHG,17,2007-09-24,83.16,81.72,84.2,81.15,5489917.0,450160399.0,4.317,81.72
600519.XSHG,18,2007-09-25,81.69,81.38,82.76,80.03,5238006.0,424466923.0,4.317,81.38
600519.XSHG,19,2007-09-26,80.28,84.13,85.18,80.28,5360909.0,450482553.0,4.317,84.13
600519.XSHG,20,2007-09-27,84.13,84.37,85.18,82.32,2201655.0,185721030.0,4.317,84.37
600519.XSHG,21,2007-09-28,84.3,86.9,88.13,84.04,4664387.0,406110739.0,4.317,86.9
600519.XSHG,22,2007-10-08,87.51,84.98,89.4,84.89,4050656.0,349755743.0,4.317,84.98
