,Date,Unnamed: 0,Unnamed: 1,open,close,high,low,Money,Factor,mean_candle,label,action,%body,%upper-shadow,%lower-shadow,MA,trend,open_norm,high_norm,low_norm,close_norm,alpha_001,alpha_002,alpha_003,alpha_004,alpha_005,alpha_006,alpha_007,alpha_008,alpha_009,alpha_010,alpha_011,alpha_012,alpha_013,alpha_014,alpha_015,alpha_016,alpha_017,alpha_018,alpha_019,alpha_020,alpha_021,alpha_022,alpha_023,alpha_024,alpha_025,alpha_026,alpha_027,alpha_028,alpha_029,alpha_030,alpha_031,alpha_032,alpha_033,alpha_034,alpha_035,alpha_036,alpha_037,alpha_038,alpha_039,alpha_040,alpha_041,alpha_042,alpha_043,alpha_044,alpha_045,alpha_046,alpha_047,alpha_048,alpha_049,alpha_050,alpha_051,alpha_052,alpha_053,alpha_054,alpha_055,alpha_056,alpha_057,alpha_058,alpha_059,alpha_060,alpha_061,alpha_062,alpha_063,alpha_064,alpha_065,alpha_066,alpha_067,alpha_068,alpha_069,alpha_070,alpha_071,alpha_072,alpha_073,alpha_074,alpha_075,alpha_076,alpha_077,alpha_078,alpha_079,alpha_080,alpha_081,alpha_082,alpha_083,alpha_084,alpha_085,alpha_086,alpha_087,alpha_088,alpha_089,alpha_090,alpha_091,alpha_092,alpha_093,alpha_094,alpha_095,alpha_096,alpha_097,alpha_098,alpha_099,alpha_100,alpha_101
0,2007-08-30,600519.XSHG,0,88.88,89.51,89.97,88.62,142153246.0,4.317,89.51,[],None,0.4666666666666758,0.3407407407407375,0.1925925925925866,,0,0.0163311271031402,0.0159797768192202,0.0173207945494674,0.0165264473136193,0.25166543,-0.63612413,0.68731779,-0.72222222,-0.81812085,0.34527418,-1.0,-0.95820896,-1.39,0.05995559,0.50253534,1.39,-0.19837158,0.11142823,-0.7609544,-0.16802369,-0.03682366,-0.96447076,-1.55588453,-0.01777821,-1.0,-0.78333549,0.21,0.07,0.09918579,-0.87287156,1.0,0.00051745,1.35040711,0.16240837,1.70846413,0.01633403,0.80088823,0.38638046,0.00366211,3.02164594,0.36861584,-0.06227807,-0.1155932,0.18951514,0.01496881,0.10148148,0.05,-0.77616902,0.0,-1.0,-0.01447938,0.0,-1.39,-0.19161677,-1.39,-1.92118135,-8.74205794,-0.63530105,-0.33918591,-0.06552703,-0.81414501,0.0,0.0,-0.00020305,0.0,0.0,0.0,0.0,-1.0,-1.11020307,0.0,-1.0,0.0,0.0,0.66666667,0.88374465,-0.75,0.0,0.0,0.0,0.04311153,0.98229105,0.0,0.0,0.0,0.0,-0.03864403,9.65635057,0.77610738,-1.0,0.0,0.41431751,0.0,0.0,0.0,0.05555556,0.0,-0.99777942,0.0,-0.84615385,0.0,-0.20806462,-1.0,0.0,0.46561299
1,2007-08-31,600519.XSHG,1,89.51,92.36,92.46,88.94,158100458.0,4.317,92.36,[],None,0.8096590909090902,0.0284090909090893,0.1619318181818204,,0,0.0165948699915016,0.017006606349023,0.0174603728485313,0.0177134527280299,0.25661765,-0.35083024,0.5442841,-0.66666667,-0.78927876,0.23487649,-1.0,-0.98890533,-4.94,0.00294118,0.3856942,-4.94,-0.22169118,0.18254739,-0.72161222,-0.18713235,-0.19087364,-0.99852941,-1.56029412,-0.02092613,-1.0,0.07220588,-2.64,-6.14,0.11838235,-0.87287156,1.0,-0.00348487,0.88051471,0.08539602,1.00589277,0.01095806,0.13602941,0.03970588,0.00170898,1.97351664,0.27647059,-0.52772491,-0.31274871,0.03812044,-0.96316933,0.00220751,0.1,-0.04874614,0.0,-1.0,-0.33818033,0.0,-4.94,-0.24047797,-4.94,-3.576,-0.17634003,-0.83125384,0.48361137,-0.89588365,-4.52379111,0.0,0.0,-0.00169772,0.0,0.0,0.0,-1.0,-1.0,-1.07192203,0.0,-1.0,0.0,0.0,0.73333333,1.02977602,-0.5,0.0,0.0,0.0,0.01027077,0.95213573,0.0,0.0,0.0,0.0,-0.51273192,0.12271229,0.76921104,-1.0,0.0,0.40420044,0.0,0.0,0.0,0.08333333,0.0,-0.99779412,0.0,-1.0,0.0,-0.24136535,-1.0,0.0,0.80806425
2,2007-09-03,600519.XSHG,2,92.92,92.3,94.36,92.11,303353295.0,4.317,92.3,['shooting star'],None,0.2755555555555575,0.639999999999999,0.0844444444444434,,0,0.0180224307046958,0.0177901308898364,0.0188430703736336,0.0176884631403581,-0.23723168,0.32426362,0.60386215,-0.61111111,-0.00070951,0.16884687,0.01666667,-0.19910847,0.11,0.77868246,0.43153603,0.11,-0.20207254,0.03536911,-0.70967312,-0.19837158,-0.00086972,-0.80162842,1.54996299,-0.94563366,-1.0,-0.36744843,-7.61,-6.22,0.91117691,-0.87287156,1.0,0.00095827,1.04256107,0.12525594,-0.98592579,0.01223884,0.79052554,0.41228719,0.04614258,4.21282488,1.18060696,-0.06153952,-0.08968629,-0.08999713,-0.35762156,1.00074074,0.65,0.08461575,0.0,-1.0,-0.97239206,0.0,0.11,-0.17814371,0.11,-4.90848261,10.75387168,-0.08486135,0.53943792,-0.04683758,5.56891511,0.0,0.0,-0.00050845,0.0,0.0,0.0,-1.0,-1.0,-1.62185711,0.0,-1.0,0.0,0.0,0.66666667,1.71675623,-0.9897879,0.0,0.0,0.0,0.01313321,0.61255004,0.0,0.0,0.0,0.0,0.25812994,0.37531517,0.55246733,0.0,0.0,0.42227979,0.0,0.0,0.0,0.11111111,0.0,-0.9983341,0.0,-1.0,0.0,-0.71174129,-1.0,0.0,-0.27685209
3,2007-09-04,600519.XSHG,3,92.17,88.24,92.17,87.2,723864066.0,4.317,88.24,[],None,0.7907444668008063,0.0,0.2092555331991936,,0,0.0177084510756942,0.0168870157612147,0.0167014158473711,0.0159975010412328,-0.33468038,0.59171642,0.25523297,-0.55555556,-0.05726869,-0.23074685,0.41666667,-0.00589971,7.02,0.99926525,0.78005864,7.02,-0.15540044,-0.08392336,0.0,-0.16054372,-1.755e-05,-0.00073475,1.53857458,-1.681e-05,1.0,-0.39725929,0.5,2.19,0.99485672,-0.77472473,1.0,0.00172345,0.8382072,0.20124587,-0.00136728,0.0185053,0.89639971,0.86847906,0.30273438,3.97421528,1.22703894,-0.00141822,-0.2826184,-0.15776857,1.94464339,0.93897059,1.0,-0.19102878,0.0,1.0,-0.0372708,0.0,1.0,-0.93860947,1.0,-3.1480529,3.61642115,-0.26020864,0.87556724,-0.00702254,1.59780086,0.0,0.0,-0.00116739,0.0,0.0,0.0,0.0,-1.0,-1.20044543,0.0,0.0,0.0,0.0,1.0,3.09409109,-0.74128582,-1.0,0.0,0.0,0.12583768,0.1758612,0.0,0.0,0.0,0.0,1.50101075,3.62389832,0.86911108,0.0,0.0,0.43277002,0.0,0.0,0.0,0.66666667,0.0,-0.97318946,0.0,-1.0,0.0,-0.76931858,-1.0,0.0,-0.79060574
4,2007-09-05,600519.XSHG,4,88.31,87.67,89.48,85.81,343653908.0,4.317,87.67,[],None,0.1743869209809265,0.3188010899182564,0.506811989100817,,0,0.0160925025850989,0.0157777099639578,0.016095122610812,0.0157600999583506,-0.37315634,0.57506282,0.0,-0.55555556,-0.0022026,-0.5148539,0.3,-0.0007391,0.99,0.95575221,0.75905785,-0.99,-0.16740413,-0.07517778,0.0,-0.13864307,-0.01395976,-0.89233038,1.52728614,-0.00181081,1.0,0.56140927,8.45,8.12,0.96386431,-0.77472473,-1.0,-0.00104539,1.56533923,0.26176591,0.13069455,0.01911596,0.64675516,0.78097345,0.21337891,3.65150524,1.36725664,-0.00613465,-0.87740111,-0.15567296,1.53115407,0.00516605,0.65625,-0.00031063,0.0,1.0,-0.00215522,0.0,1.0,-0.82763744,1.0,1.65047788,0.76205219,-0.52587513,0.71994663,-0.00909864,-5.6397637,0.0,0.0,-0.001197,0.0,-1.0,0.0,0.0,-1.0,-0.17928731,0.0,0.0,0.0,0.0,1.0,6.12592183,-1.0,-1.0,1.0,0.0,0.07244212,0.53973634,0.0,0.0,0.0,0.0,-0.9173254,13717.51318209,0.90462264,-1.0,0.0,0.41924779,0.0,0.0,0.0,0.75,0.0,-0.02359882,0.0,-1.0,0.0,-0.9017752,-1.0,0.0,-0.17422697
5,2007-09-06,600519.XSHG,5,87.78,86.62,87.78,85.99,412746126.0,4.317,86.62,[],None,0.648044692737426,0.0,0.351955307262574,,0,0.015870623647271,0.0150766616905985,0.0161736354040355,0.0153227821740941,-0.45710059,0.30478916,0.0,-0.55555556,-0.00051042,-0.37113815,0.41666667,-0.00074129,1.82,0.02071006,0.69523071,1.82,-0.1841716,-0.18529456,0.0,-0.16309172,-0.00078783,-0.68565089,1.52884615,-0.0052195,1.0,0.91779068,7.6,9.83,0.98150888,-0.55918334,-1.0,-0.00047238,1.39038462,0.29440629,0.2877429,0.0205785,0.7795858,0.99593195,0.50976562,3.69355656,1.40347633,-0.00253542,-0.41500484,0.00276829,0.49199583,0.31088083,0.83125,0.31794726,0.0,1.0,0.00032572,0.0,1.0,-0.77198212,1.0,1.75249704,-2.36465895,-0.3758125,0.70045983,-0.00065758,-0.15105783,0.0,0.0,-0.00106737,0.0,-1.0,0.0,0.0,-1.0,-0.16740796,0.0,0.0,0.0,0.0,1.0,14.41715976,-1.0,0.0,1.0,0.0,0.02829486,0.66917553,0.0,0.0,0.0,0.0,-0.28826427,1000000000000.0,0.98201744,-1.0,0.0,0.43454142,0.0,0.0,0.0,1.0,0.0,-0.0147929,0.0,-0.875,0.0,-0.92968172,0.0,0.0,-0.64817801
6,2007-09-07,600519.XSHG,6,86.62,83.43,86.62,83.1,480091647.0,4.317,83.43,[],None,0.9062499999999968,0.0,0.0937500000000032,,0,0.0153850018210818,0.0145982993393651,0.0149130688906142,0.0139941690962099,0.01784387,0.48669275,0.0,-0.55555556,-1.879e-05,-0.17141632,0.73333333,-0.00074349,-5.53,0.00074349,0.28161247,5.53,-0.19070632,-0.12515303,-0.71203492,-0.15427509,-0.00108915,-0.00148699,1.48178439,-0.02349831,1.0,0.33634121,0.0,8.34,0.99107807,-0.91855865,-1.0,0.00163669,1.19962825,0.32926597,0.46176912,0.02443032,0.69219331,0.93048327,0.76904297,3.51268334,1.46468401,-0.0258081,-0.22364478,0.20199513,1.48264779,0.97619048,0.95,0.21795827,0.0,1.0,0.00145017,0.0,1.0,-0.77886057,1.0,4.10962082,-72.125,-0.11095432,0.69700931,-0.00927903,3.92306063,0.0,0.0,-0.00137573,0.0,-1.0,0.0,0.0,0.0,-0.16741127,0.0,0.0,0.0,0.0,1.0,26.41784387,-0.9375,0.0,0.0,0.0,0.0141791,0.74335227,0.0,0.0,0.0,0.0,1.67143873,1000000000000.0,0.98629448,0.0,0.0,0.39851301,0.0,0.0,0.0,1.0,0.0,-0.22975662,1.0,-0.875,0.0,-0.92931548,0.0,0.0,-0.9078969
7,2007-09-10,600519.XSHG,7,81.0,82.07,83.34,81.0,577753207.0,4.317,82.07,[],None,0.4572649572649537,0.5427350427350464,0.0,,0,0.0130322478010959,0.0132456885531188,0.013997086303007,0.0134277384423157,-0.25796887,0.10521436,0.56947644,-0.11111111,-0.00059897,0.26877406,0.8,-0.00148258,-2.35,0.01630838,0.90464837,2.35,-0.19940697,0.07152697,-0.01264881,-0.1460341,-0.03615504,-0.99110452,1.46330615,0.0,1.0,0.35760447,0.0,9.7,0.99332839,-1.0,1.0,-0.00094426,1.2,0.36846872,0.6811053,0.02468414,0.73165308,0.90214974,0.70953369,1.95414361,0.54781319,-0.01226755,-0.26901403,0.44595193,0.66655819,0.19302153,0.95,0.18384406,0.0,1.0,0.00305552,0.0,1.0,-0.82589286,1.0,5.72779837,-2.02010285,-0.42892174,0.57324543,-0.00323497,-2.17245929,0.0,0.0,0.00011163,0.0,-1.0,0.0,0.0,0.0,-0.16740961,0.0,0.0,0.0,0.0,0.75,34.27353595,-1.0,0.0,1.0,0.0,0.00595238,0.97570845,0.0,0.0,0.0,0.0,-0.4101222,1000000000000.0,0.99560663,-1.0,0.0,0.4017791,0.0,0.0,0.0,0.16666667,0.0,-0.3395152,1.0,-0.5,0.0,-0.89799373,0.0,0.0,0.45801527
8,2007-09-11,600519.XSHG,8,82.01,83.05,84.59,82.01,374651914.0,4.317,83.05,[],None,0.4031007751937956,0.5968992248062044,0.0,,0,0.0134550737014849,0.0137611652247065,0.0144376303094276,0.0138359017076218,0.47382006,0.4222216,0.44128691,-0.16666667,-0.00021101,0.24014831,0.9,-0.00737463,-1.69,0.02654867,0.39799514,1.69,-0.19985251,0.2341269,-0.18812842,-0.17330383,-0.17044111,-0.99852507,1.53687316,-0.00147728,1.0,0.97778858,0.0,6.19,0.00737463,-1.0,1.0,-0.00034338,1.6,0.16363407,0.82908675,0.01874794,0.02728614,0.24926254,0.20507812,2.26656879,0.50073746,-0.57071815,-1.05631695,0.41150266,-0.62033685,0.71565731,0.65,0.64639259,0.0,1.0,0.0006178,0.0,1.0,-0.72383073,1.0,2.3339233,-0.92361111,-0.37726089,0.26467345,-0.58839224,4.86268239,0.0,0.0,-0.00263508,0.0,-1.0,0.0,0.0,0.0,-0.16740686,0.0,-1.0,0.0,0.0,0.5,3.44579646,-0.9375,0.0,0.0,0.0,0.03192279,0.97148382,0.0,0.0,0.0,0.0,1.64904061,102329299.228073,0.99132929,0.0,0.0,0.42072271,0.0,0.0,0.0,0.2,0.0,-0.94697157,1.0,-0.25,0.0,-0.84537763,0.0,0.0,0.40169605
9,2007-09-12,600519.XSHG,9,82.58,83.0,84.32,81.04,173598048.0,4.317,83.0,[],None,0.1280487804878059,0.4024390243902434,0.4695121951219506,,0,0.0136936982195261,0.0136498222636436,0.01401453359039,0.0138150770512286,0.33988139,0.13980525,0.15350335,-0.22222222,-0.00217277,0.07397475,-1.0,-0.03261675,0.08,0.7153447,0.30074992,-0.08,-0.32765011,0.03498583,-0.86321714,-0.28910304,-0.00036199,-0.95107487,1.51593773,-0.00145812,-1.0,0.14876773,0.0,0.74,0.73906597,-1.0,1.0,-0.00142666,1.99925871,0.21726677,0.47323955,0.01787741,0.62713121,0.80948851,0.04760742,2.71496496,0.48295033,-0.16811069,-0.98328059,0.19817919,0.74820844,0.02377415,0.13125,0.10082403,0.0,1.0,-0.00371146,0.0,1.0,-0.62416107,1.0,0.91265678,0.15308585,-0.58305669,0.37351991,-0.16641435,-6.59045157,0.0,0.0,-0.00080908,0.0,-1.0,0.0,0.0,-1.0,-1.00074349,0.0,0.0,0.0,0.0,0.25,1.11749444,-0.625,0.0,0.0,0.0,0.42569081,0.90244695,0.0,0.0,-1.0,0.0,-0.13004347,1862087.13666291,0.99086317,-1.0,0.0,0.43958488,0.0,0.0,0.0,0.16666667,0.0,-0.74203113,0.0,-0.5,0.0,-0.56971752,-1.0,0.0,0.12696174
