Date,Unnamed: 0,Unnamed: 1,open,close,high,low,Money,Factor,mean_candle,label,action,%body,%upper-shadow,%lower-shadow,MA,trend,open_norm,high_norm,low_norm,close_norm
2007-08-30,600519.XSHG,0,88.88,89.51,89.97,88.62,142153246.0,4.317,89.51,[],None,0.4666666666666758,0.34074074074073757,0.19259259259258665,,0,0.016331127103140212,0.015979776819220273,0.01732079454946742,0.01652644731361933
2007-08-31,600519.XSHG,1,89.51,92.36,92.46,88.94,158100458.0,4.317,92.36,[],None,0.8096590909090902,0.028409090909089326,0.16193181818182045,,0,0.016594869991501622,0.01700660634902307,0.01746037284853137,0.017713452728029988
2007-09-03,600519.XSHG,2,92.92,92.3,94.36,92.11,303353295.0,4.317,92.3,['shooting star'],None,0.27555555555555755,0.639999999999999,0.08444444444444343,,0,0.018022430704695884,0.017790130889836452,0.01884307037363366,0.017688463140358185
2007-09-04,600519.XSHG,3,92.17,88.24,92.17,87.2,723864066.0,4.317,88.24,[],None,0.7907444668008063,0.0,0.20925553319919363,,0,0.017708451075694215,0.01688701576121471,0.016701415847371125,0.01599750104123282
2007-09-05,600519.XSHG,4,88.31,87.67,89.48,85.81,343653908.0,4.317,87.67,[],None,0.1743869209809265,0.31880108991825645,0.506811989100817,,0,0.01609250258509895,0.015777709963957876,0.01609512261081208,0.01576009995835069
2007-09-06,600519.XSHG,5,87.78,86.62,87.78,85.99,412746126.0,4.317,86.62,[],None,0.648044692737426,0.0,0.351955307262574,,0,0.015870623647271098,0.015076661690598531,0.01617363540403555,0.015322782174094128
2007-09-07,600519.XSHG,6,86.62,83.43,86.62,83.1,480091647.0,4.317,83.43,[],None,0.9062499999999967,0.0,0.09375000000000328,,0,0.01538500182108185,0.014598299339365104,0.014913068890614226,0.013994169096209916
2007-09-10,600519.XSHG,7,81.0,82.07,83.34,81.0,577753207.0,4.317,82.07,[],None,0.4572649572649537,0.5427350427350464,0.0,,0,0.013032247801095999,0.013245688553118844,0.013997086303007038,0.0134277384423157
2007-09-11,600519.XSHG,8,82.01,83.05,84.59,82.01,374651914.0,4.317,83.05,[],None,0.4031007751937956,0.5968992248062044,0.0,,0,0.013455073701484917,0.013761165224706596,0.01443763030942764,0.013835901707621827
2007-09-12,600519.XSHG,9,82.58,83.0,84.32,81.04,173598048.0,4.317,83.0,[],None,0.1280487804878059,0.4024390243902434,0.46951219512195064,,0,0.013693698219526186,0.013649822263643637,0.014014533590390035,0.013815077051228655
2007-09-13,600519.XSHG,10,83.16,83.07,83.45,81.43,302740276.0,4.317,83.07,[],None,0.04455445544554633,0.14356435643564694,0.8118811881188067,,0,0.01393650913262081,0.013291050500218563,0.01418464464237423,0.01384423157017909
2007-09-14,600519.XSHG,11,83.16,85.7,86.63,81.85,533527808.0,4.317,85.7,[],None,0.5313807531380765,0.19456066945606534,0.27405857740585815,,0,0.01393650913262081,0.014602423152737801,0.014367841159895662,0.01493960849645981
